timestamp,CO2avg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,CO2min,CH4min,C2H5OHmin,H2min,NH3min,NO2min,CO2max,CH4max,C2H5OHmax,H2max,NH3max,NO2max
1500,"241,75","19952,58",0,0,"315,27",0,"171,85","18721,71",0,0,"296,4",0,"287,99","20766,85",0,0,"327,76",0
3000,"252,51","20141,95",0,0,"318,18",0,"219,17","19554,92",0,0,"309,18",0,"275,09","20539,62",0,0,"324,27",0
4500,"252,51","20141,95",0,0,"318,18",0,"236,37","19857,9",0,0,"313,82",0,"266,49","20388,12",0,0,"321,95",0
6000,"209,49","19384,49",0,0,"306,56",0,"193,36","19100,44",0,0,"302,21",0,"240,68","19933,65",0,0,"314,98",0
7500,"246,05","20028,33",0,0,"314,98",0,"236,37","19857,9",0,0,"311,5",0,"253,58","20160,88",0,0,"320,79",0
9000,"223,47","19630,66",0,0,"310,34",0,"210,56","19403,42",0,0,"306,85",0,"236,37","19857,9",0,0,"313,82",0
10500,"214,87","19479,17",0,0,"308,01",0,"197,66","19176,19",0,0,"303,37",0,"236,37","19857,9",0,0,"313,82",0
12000,"209,49","19384,49",0,0,"305,98",0,"197,66","19176,19",0,0,"299,88",0,"223,47","19630,66",0,0,"310,34",0
13500,"190,13","19043,63",0,0,"301,34",0,"180,45","18873,2",0,0,"298,72",0,"201,96","19251,93",0,0,"304,53",0
15000,"206,26","19327,68",0,0,"305,69",0,"193,36","19100,44",0,0,"302,21",0,"214,87","19479,17",0,0,"308,01",0
16500,"187,98","19005,76",0,0,"300,75",0,"176,15","18797,46",0,0,"297,56",0,"193,36","19100,44",0,0,"302,21",0
18000,"165,4","18627,03",0,0,"290,3",0,"146,04","18342,98",0,0,"287,11",0,"184,76","18948,95",0,0,"294,08",0
19500,"155,72","18437,66",0,0,"292,04",0,"133,14","18039,99",0,0,"285,95",0,"189,06","19024,69",0,0,"301,05",0
21000,"149,27","18324,04",0,0,"290,3",0,"133,14","18039,99",0,0,"285,95",0,"167,55","18645,96",0,0,"295,24",0
22500,"157,87","18475,53",0,0,"292,62",0,"141,74","18191,49",0,0,"288,27",0,"171,85","18721,71",0,0,"296,4",0
24000,"135,29","18077,87",0,0,"286,53",0,"111,63","17661,26",0,0,"280,14",0,"163,25","18570,22",0,0,"294,08",0
25500,"148,19","18305,11",0,0,"290,01",0,"111,63","17661,26",0,0,"280,14",0,"171,85","18721,71",0,0,"296,4",0
27000,"76,14","17036,36",0,0,"270,56",0,"60,01","16752,31",0,0,"266,2",0,"85,82","17206,79",0,0,"273,17",0
28500,"70,76","16941,68",0,0,"266,2",0,"60,01","16752,31",0,0,"262,72",0,"85,82","17206,79",0,0,"268,52",0
30000,"15,92","15975,91",0,0,"254,3",0,"4,09","15767,61",0,0,"251,1",0,"25,59","16146,34",0,0,"256,91",0
31500,"26,67","16165,28",0,0,"257,2",0,"8,39","15843,36",0,0,"252,26",0,"47,1","16525,07",0,0,"262,72",0
33000,"35,27","16316,77",0,0,"261,27",0,"25,59","16146,34",0,0,"258,07",0,"60,01","16752,31",0,0,"266,2",0
34500,"6,29","15729,74",0,0,"250,52",0,"4,09","15388,88",0,0,"245,3",0,"12,69","15919,1",0,0,"253,43",0
36000,"24,52","16127,4",0,0,"256,62",0,"8,39","15843,36",0,0,"252,26",0,"47,1","16525,07",0,0,"262,72",0
37500,"17,05","15956,98",0,0,"254,01",0,"16,99","15540,37",0,0,"247,62",0,"34,2","16297,83",0,0,"259,23",0
39000,"4,14","15635,05",0,0,"249,07",0,"4,09","15161,64",0,0,"241,81",0,"8,39","15843,36",0,0,"252,26",0
40500,"9,57","15616,12",0,0,"248,78",0,"8,39","15085,9",0,0,"240,65",0,"29,9","16222,09",0,0,"258,07",0
42000,"15,97","15956,98",0,0,"254,01",0,"16,99","15616,12",0,0,"248,78",0,"25,59","16146,34",0,0,"256,91",0
43500,"23,5","16051,66",0,0,"255,46",0,"12,69","15464,63",0,0,"246,46",0,"42,8","16449,33",0,0,"261,56",0
45000,"29,9","16222,09",0,0,"258,07",0,"8,39","15843,36",0,0,"252,26",0,"81,52","17131,04",0,0,"272,01",0
46500,"8,5","15748,68",0,0,"250,81",0,"4,09","15313,13",0,0,"244,13",0,"29,9","16222,09",0,0,"258,07",0
48000,"25,59","16146,34",0,0,"256,91",0,"12,69","15919,1",0,0,"253,43",0,"51,4","16600,82",0,0,"263,88",0
49500,"11,72","15616,12",0,0,"248,78",0,"12,69","14934,4",0,0,"238,33",0,"34,2","16297,83",0,0,"259,23",0
51000,"7,47","15540,37",0,0,"247,62",0,"29,9","14934,4",0,0,"238,33",0,"29,9","16222,09",0,0,"258,07",0
52500,0,"15066,96",0,0,"240,36",0,0,"14782,91",0,0,236,0,0,"15464,63",0,0,"246,46",0
54000,"7,47","15161,64",0,0,"241,81",0,"29,9","14176,94",0,0,"226,71",0,"29,9","16222,09",0,0,"258,07",0
55500,0,"15048,02",0,0,"240,07",0,0,"14404,18",0,0,"230,2",0,0,"15616,12",0,0,"248,78",0
57000,0,"15029,09",0,0,"238,91",0,0,"14782,91",0,0,"237,17",0,0,"15313,13",0,0,"241,81",0
58500,"2,1","15351,01",0,0,"244,72",0,"8,39","15010,15",0,0,"239,49",0,"8,39","15843,36",0,0,"252,26",0
60000,0,"15218,45",0,0,"242,68",0,0,"14707,17",0,0,"234,84",0,0,"15616,12",0,0,"248,78",0
61500,0,"14934,4",0,0,"238,33",0,0,"14404,18",0,0,"230,2",0,0,"15161,64",0,0,"241,81",0
63000,0,"15048,02",0,0,"240,07",0,0,"14707,17",0,0,"234,84",0,0,"15464,63",0,0,"246,46",0
64500,0,"14801,85",0,0,"236,3",0,0,"14555,67",0,0,"232,52",0,0,"15010,15",0,0,"239,49",0
66000,0,"14896,53",0,0,"237,75",0,0,"14782,91",0,0,236,0,0,"15010,15",0,0,"239,49",0
67500,0,"14763,98",0,0,"235,71",0,0,"14328,44",0,0,"229,04",0,0,"15085,9",0,0,"240,65",0
69000,0,"14688,23",0,0,"234,55",0,0,"14252,69",0,0,"227,87",0,0,"14858,66",0,0,"237,17",0
70500,0,"14896,53",0,0,"237,75",0,0,"14707,17",0,0,"234,84",0,0,"15237,39",0,0,"242,97",0
72000,0,"14309,5",0,0,"228,75",0,0,"13873,96",0,0,"222,07",0,0,"14479,93",0,0,"231,36",0
73500,0,"14934,4",0,0,"238,33",0,0,"14782,91",0,0,236,0,0,"15085,9",0,0,"240,65",0
75000,0,"14517,8",0,0,"231,94",0,0,"14252,69",0,0,"227,87",0,0,"14934,4",0,0,"238,33",0
76500,0,"14233,75",0,0,"227,58",0,0,"13646,72",0,0,"218,58",0,0,"14707,17",0,0,"234,84",0
78000,0,"14707,17",0,0,"234,84",0,0,"14479,93",0,0,"231,36",0,0,"14858,66",0,0,"237,17",0
79500,0,"14574,61",0,0,"231,36",0,0,"14328,44",0,0,"222,07",0,0,"14858,66",0,0,"238,33",0
81000,0,"14839,72",0,0,"236,88",0,0,"14555,67",0,0,"232,52",0,0,"15085,9",0,0,"240,65",0
82500,0,"14498,87",0,0,"231,65",0,0,"14328,44",0,0,"229,04",0,0,"14934,4",0,0,"238,33",0
84000,0,"14347,37",0,0,"229,33",0,0,"14176,94",0,0,"226,71",0,0,"14555,67",0,0,"232,52",0
85500,0,"14252,69",0,0,"227,87",0,0,"13873,96",0,0,"222,07",0,0,"14858,66",0,0,"237,17",0
87000,0,"13760,34",0,0,"220,33",0,0,"13192,24",0,0,"211,61",0,0,"14252,69",0,0,"227,87",0
88500,0,"14176,94",0,0,"226,71",0,0,"13419,48",0,0,"215,1",0,0,"14782,91",0,0,236,0
90000,0,"14517,8",0,0,"231,94",0,0,"14404,18",0,0,"230,2",0,0,"14858,66",0,0,"237,17",0
91500,0,"14176,94",0,0,"226,71",0,0,"13949,71",0,0,"223,23",0,0,"14631,42",0,0,"233,68",0
93000,0,"13476,29",0,0,"216,55",0,0,"12662,02",0,0,"205,81",0,0,"14176,94",0,0,"226,71",0
94500,0,"14252,69",0,0,"227,87",0,0,"14025,45",0,0,"224,39",0,0,"14631,42",0,0,"233,68",0
96000,0,"14063,32",0,0,"224,97",0,0,"13646,72",0,0,"218,58",0,0,"14782,91",0,0,236,0
97500,0,"14195,88",0,0,227,0,0,"13949,71",0,0,"223,23",0,0,"14404,18",0,0,"230,2",0
99000,0,"14025,45",0,0,"224,39",0,0,"13798,21",0,0,"220,91",0,0,"14479,93",0,0,"231,36",0
100500,0,"13741,4",0,0,"220,03",0,0,"13267,99",0,0,"212,78",0,0,"14252,69",0,0,"226,71",0
102000,0,"13589,91",0,0,"217,71",0,0,12965,0,0,"208,13",0,0,"14176,94",0,0,"226,71",0
103500,0,"13760,34",0,0,"220,33",0,0,"13192,24",0,0,"211,61",0,0,"14176,94",0,0,"226,71",0
105000,0,"14063,32",0,0,"221,2",0,0,"13873,96",0,0,"216,26",0,0,"14176,94",0,0,"224,39",0
106500,0,"13040,75",0,0,"209,29",0,0,"12586,27",0,0,"202,32",0,0,"13267,99",0,0,"212,78",0
108000,0,"13286,93",0,0,"213,07",0,0,"12889,26",0,0,"206,97",0,0,"13873,96",0,0,"222,07",0
109500,0,"14214,82",0,0,"227,29",0,0,"14101,2",0,0,"225,55",0,0,"14404,18",0,0,"230,2",0
111000,0,"13911,83",0,0,"222,65",0,0,"13267,99",0,0,"212,78",0,0,"14404,18",0,0,"230,2",0
112500,0,"13760,34",0,0,"220,33",0,0,"13570,97",0,0,"217,42",0,0,"14025,45",0,0,"224,39",0
114000,0,"13608,85",0,0,218,0,0,"13192,24",0,0,"211,61",0,0,"14025,45",0,0,"224,39",0
115500,0,"13836,09",0,0,"221,49",0,0,"13495,23",0,0,"216,26",0,0,"13949,71",0,0,"223,23",0
117000,0,"13476,29",0,0,"215,97",0,0,"12889,26",0,0,"206,97",0,0,"13798,21",0,0,"220,91",0
118500,0,"13665,66",0,0,"218,87",0,0,"13343,74",0,0,"213,94",0,0,"14101,2",0,0,"225,55",0
120000,0,"13324,8",0,0,"213,65",0,0,12965,0,0,"208,13",0,0,"13798,21",0,0,"220,91",0
121500,0,"13703,53",0,0,"219,45",0,0,"13343,74",0,0,"213,94",0,0,"14252,69",0,0,"227,87",0
123000,0,"13533,1",0,0,"216,84",0,0,"13116,5",0,0,"210,45",0,0,"13949,71",0,0,"223,23",0
124500,0,"13552,04",0,0,"217,13",0,0,"13419,48",0,0,"215,1",0,0,"13798,21",0,0,"220,91",0
126000,0,"13476,29",0,0,"215,97",0,0,12965,0,0,"208,13",0,0,"13722,47",0,0,"219,74",0
127500,0,"13343,74",0,0,"213,94",0,0,"13040,75",0,0,"209,29",0,0,"14101,2",0,0,"225,55",0
129000,0,"13154,37",0,0,"211,03",0,0,"12813,51",0,0,"205,81",0,0,"13873,96",0,0,"222,07",0
130500,0,"13097,56",0,0,"210,16",0,0,"12889,26",0,0,"206,97",0,0,"13419,48",0,0,"215,1",0
132000,0,"12851,39",0,0,"206,39",0,0,"12207,54",0,0,"196,52",0,0,"13570,97",0,0,"217,42",0
133500,0,"13249,05",0,0,"212,49",0,0,"12662,02",0,0,"203,48",0,0,"13570,97",0,0,"217,42",0
135000,0,"13381,61",0,0,"214,52",0,0,"12889,26",0,0,"206,97",0,0,"13873,96",0,0,"222,07",0
136500,0,"13192,24",0,0,"211,61",0,0,12965,0,0,"208,13",0,0,"13722,47",0,0,"219,74",0
138000,0,"12794,58",0,0,"205,52",0,0,"12510,53",0,0,"201,16",0,0,"13040,75",0,0,"209,29",0
139500,0,"13419,48",0,0,"215,1",0,0,"12889,26",0,0,"206,97",0,0,"14025,45",0,0,"224,39",0
141000,0,"12586,27",0,0,"202,32",0,0,"11753,07",0,0,"189,55",0,0,"13040,75",0,0,"209,29",0
142500,0,"12870,32",0,0,"206,68",0,0,"12510,53",0,0,"201,16",0,0,"13116,5",0,0,"210,45",0
144000,0,"12662,02",0,0,"203,48",0,0,"12131,8",0,0,"195,35",0,0,"13343,74",0,0,"213,94",0
145500,0,"13002,88",0,0,"208,71",0,0,"12737,77",0,0,"204,65",0,0,"13116,5",0,0,"210,45",0
147000,0,"13589,91",0,0,"215,39",0,0,"13267,99",0,0,"212,78",0,0,"14176,94",0,0,"217,42",0
148500,0,"12870,32",0,0,"206,68",0,0,"12434,78",0,0,200,0,0,"13116,5",0,0,"210,45",0
150000,0,"12794,58",0,0,"205,52",0,0,"12510,53",0,0,"201,16",0,0,"13343,74",0,0,"213,94",0
151500,0,"13343,74",0,0,"212,49",0,0,"12813,51",0,0,"205,81",0,0,"13949,71",0,0,"223,23",0
153000,0,"12737,77",0,0,"204,65",0,0,"12510,53",0,0,"201,16",0,0,12965,0,0,"208,13",0
154500,0,"12510,53",0,0,"201,16",0,0,"12131,8",0,0,"195,35",0,0,"12889,26",0,0,"206,97",0
156000,0,"12832,45",0,0,"206,1",0,0,"12662,02",0,0,"203,48",0,0,"13040,75",0,0,"209,29",0
