timestamp,CO2avg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,CO2min,CH4min,C2H5OHmin,H2min,NH3min,NO2min,CO2max,CH4max,C2H5OHmax,H2max,NH3max,NO2max
1500,"110,55","17642,33",0,0,"279,85",0,"90,12","17282,53",0,0,"274,33",0,"146,04","18267,23",0,0,"289,43",0
3000,"141,74","18191,49",0,0,"288,27",0,"120,23","17812,76",0,0,"282,46",0,"167,55","18645,96",0,0,"295,24",0
4500,"93,35","17339,34",0,0,"275,2",0,"42,8","16449,33",0,0,"261,56",0,"146,04","18267,23",0,0,"289,43",0
6000,"113,78","17699,14",0,0,"280,72",0,"98,72","17434,03",0,0,"276,66",0,"154,64","18418,72",0,0,"291,75",0
7500,"97,65","17415,09",0,0,"276,36",0,"68,61","16903,8",0,0,"268,52",0,"120,23","17812,76",0,0,"282,46",0
9000,117,"17755,95",0,0,"281,59",0,"85,82","17206,79",0,0,"273,17",0,"146,04","18267,23",0,0,"289,43",0
10500,"79,37","17093,17",0,0,"271,43",0,"68,61","16903,8",0,0,"268,52",0,"85,82","17206,79",0,0,"273,17",0
12000,"83,67","17168,91",0,0,"272,59",0,"60,01","16752,31",0,0,"266,2",0,"103,02","17509,77",0,0,"277,82",0
13500,"80,44","17112,1",0,0,"271,72",0,"68,61","16903,8",0,0,"268,52",0,"94,42","17358,28",0,0,"275,49",0
15000,"103,02","17509,77",0,0,"277,82",0,"90,12","17282,53",0,0,"274,33",0,"120,23","17812,76",0,0,"282,46",0
16500,"77,21","17055,29",0,0,"270,85",0,"47,1","16525,07",0,0,"262,72",0,"98,72","17434,03",0,0,"276,66",0
18000,"35,27","16316,77",0,0,"259,52",0,"8,39","15843,36",0,0,"252,26",0,"55,71","16676,56",0,0,"265,04",0
19500,"23,44","16108,47",0,0,"256,33",0,"12,69","15919,1",0,0,"253,43",0,"38,5","16373,58",0,0,"260,39",0
