timestamp,CO2avg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,CO2min,CH4min,C2H5OHmin,H2min,NH3min,NO2min,CO2max,CH4max,C2H5OHmax,H2max,NH3max,NO2max
0,"349,55","21850,86","39,9","15,24","344,38",0,"292,13","20839,74","37,05","10,91","328,88",0,"392,62","22609,2","70,2","50,04","356,01",0
10,"337,89","21645,47","30,97","6,92","342,2",0,"295,72","20902,93","29,4","27,68","336,63",0,"378,27","22356,42",60,"27,68","352,13",0
20,"271,5","20476,37",0,0,"323,3",0,"252,66","20144,59",0,0,"318,22",0,"302,9","21029,32",0,0,"331,78",0
30,"207,79","19354,65",0,0,"306,1",0,"177,29","18817,49",0,0,"297,87",0,"249,07","20081,39",0,0,"317,25",0
40,"291,24","20823,94","4,16",0,"328,63",0,"277,78","20586,96","16,65",0,325,0,"317,26","21282,1","16,65",0,"335,66",0
50,"131,53","18011,75",0,0,"294,96",0,"91,16","17300,81",0,0,"287,21",0,"173,7","18754,3",0,0,"305,62",0
60,"247,27","20049,8","5,44",0,"316,76",0,"191,65","19070,27","21,75",0,"301,74",0,"324,43","21408,49","21,75",0,"337,6",0
70,"277,78","20586,96",0,0,325,0,"223,94","19639,03",0,0,"310,47",0,"299,31","20966,13",0,0,"330,81",0
80,"291,24","20823,94","6,71",0,"328,63",0,"270,6","20460,57","26,85",0,"323,06",0,"331,61","21534,88","26,85",0,"339,53",0
90,"267,91","20413,17",0,0,"322,34",0,"231,12","19765,42",0,0,"312,4",0,"302,9","21029,32",0,0,"331,78",0
100,"297,52","20966,13","6,07",0,"328,15",0,"263,42","20460,57","24,3",0,"321,12",0,"328,02","21471,69","24,3",0,"337,6",0
110,"261,63","20492,16",0,0,"323,3",0,"238,3",19955,0,0,"315,31",0,"292,13","20839,74",0,0,"328,88",0
120,"239,2","19907,61",0,0,"316,76",0,"213,18","19449,44",0,0,"312,4",0,"263,42","20334,18",0,0,"321,12",0
130,"250,86","20112,99",0,0,"317,73",0,206,"19323,05",0,0,"305,62",0,"292,13","20839,74",0,0,"328,88",0
140,"190,75","19054,47",0,0,"301,5",0,"166,52","18627,91",0,0,"294,96",0,206,"19323,05",0,0,"305,62",0
150,"229,33","19733,82",0,0,"311,92",0,"195,23","19133,47",0,0,"302,71",0,"256,24","20207,79",0,0,"319,19",0
160,"214,97","19481,04",0,0,"308,04",0,206,"19323,05",0,0,"305,62",0,"227,53","19702,22",0,0,"311,43",0
170,"166,52","18627,91",0,0,"294,96",0,"144,99","18248,74",0,0,"289,15",0,"202,41","19259,86",0,0,"304,65",0
180,"211,38","19417,85",0,0,"307,07",0,"188,06","19007,08",0,0,"300,78",0,"256,24","20207,79",0,0,"319,19",0
190,"216,77","19512,64",0,0,"308,53",0,"191,65","19070,27",0,0,"301,74",0,"256,24","20207,79",0,0,"319,19",0
200,"202,41","19259,86",0,0,"305,14",0,"184,47","18943,88",0,0,"301,74",0,"223,94","19639,03",0,0,"310,47",0
210,"123,46","17869,56",0,0,"283,33",0,"94,75",17364,0,0,"275,58",0,"137,81","18122,35",0,0,"287,21",0
220,"213,18","19449,44",0,0,"307,56",0,"141,4","18185,54",0,0,"288,18",0,"259,83","20270,98",0,0,"320,16",0
230,"40,91","16416,08",0,0,"261,05",0,"19,38","16036,91",0,0,"255,23",0,"87,57","17237,61",0,0,"273,64",0
240,"197,03","19165,07",0,0,"303,2",0,"155,76","18438,32",0,0,"292,05",0,"234,71","19828,62",0,0,"313,37",0
250,"247,27","20049,8","4,16",0,"316,76",0,"162,93","18564,71","16,65",0,"293,99",0,"317,26","21282,1","16,65",0,"335,66",0
260,"198,82","19196,66",0,0,"303,68",0,"180,88","18880,69",0,0,"298,84",0,"213,18","19449,44",0,0,"307,56",0
270,"171,91","18722,7",0,0,"296,41",0,"141,4","18185,54",0,0,"288,18",0,"209,59","19386,25",0,0,"306,59",0
280,"204,21","19291,46",0,0,"310,22",0,"177,29","18817,49",0,0,"297,87",0,"263,42","20334,18",0,0,"321,12",0
290,"223,05","19623,23",0,0,"310,22",0,"177,29","18817,49",0,0,"297,87",0,"256,24","20207,79",0,0,"319,19",0
300,"233,81","19812,82",0,0,"313,13",0,"216,77","19512,64",0,0,"308,53",0,"252,66","20144,59",0,0,"318,22",0
310,"249,07","20081,39",0,0,"317,25",0,"231,12","19765,42",0,0,"312,4",0,"274,19","20523,76",0,0,"324,03",0
320,"212,28","19291,46",0,0,"307,32",0,"195,23","19133,47",0,0,"303,68",0,"231,12","19449,44",0,0,"311,43",0
330,"192,54","19086,07",0,0,"301,99",0,"159,35","18501,52",0,0,"293,02",0,"238,3","19891,81",0,0,"314,34",0
340,"166,52","18627,91",0,0,"294,96",0,"134,22","18059,15",0,0,"286,24",0,"198,82","19196,66",0,0,"303,68",0
350,"178,19","18833,29",0,0,"298,11",0,"137,81","18122,35",0,0,"287,21",0,"249,07","20081,39",0,0,"317,25",0
360,"99,77","17316,61",0,0,"274,85",0,"123,46","15152,17",0,0,"241,67",0,"137,81","18122,35",0,0,"287,21",0
370,"158,45","18485,72",0,0,"292,78",0,"87,57","17237,61",0,0,"273,64",0,"220,36","19575,83",0,0,"309,5",0
380,"209,59","19386,25",0,0,"306,59",0,"188,06","19007,08",0,0,"300,78",0,"241,89",19955,0,0,"315,31",0
390,"218,56","19544,24",0,0,"309,01",0,"141,4","18185,54",0,0,"288,18",0,"252,66","20144,59",0,0,"318,22",0
400,"199,72","19212,46",0,0,"303,92",0,"170,11","18691,1",0,0,"295,93",0,"216,77","19512,64",0,0,"308,53",0
410,"159,35","18501,52",0,0,"296,66",0,"152,17","18375,13",0,0,"284,3",0,"166,52","18627,91",0,0,"316,28",0
420,"171,01","18706,9",0,0,"296,17",0,"152,17","18375,13",0,0,"291,09",0,"195,23","19133,47",0,0,"302,71",0
430,"119,87","17806,37",0,0,"282,36",0,"69,62","16921,64",0,0,"268,8",0,"166,52","18627,91",0,0,"294,96",0
440,"177,29","18817,49",0,0,"297,87",0,"148,58","18311,93",0,0,"290,12",0,"209,59","19386,25",0,0,"306,59",0
450,"53,12","16558,27",0,0,"262,5",0,"33,74","15657,74",0,0,"259,11",0,"91,16","17237,61",0,0,"270,74",0
460,"206,9","19338,85",0,0,"305,86",0,"191,65","19070,27",0,0,"301,74",0,"234,71","19828,62",0,0,"313,37",0
470,"212,28","19433,65",0,0,"307,32",0,"184,47","18943,88",0,0,"299,81",0,"238,3","19891,81",0,0,"314,34",0
480,"220,36","19575,83",0,0,"309,5",0,"173,7","18754,3",0,0,"296,9",0,"267,01","20397,37",0,0,"322,09",0
490,"207,79","19496,84",0,0,"304,89",0,"152,17","18375,13",0,0,"288,18",0,"249,07","20334,18",0,0,"321,12",0
500,"183,57","18928,08",0,0,"299,56",0,"148,58","18311,93",0,0,"290,12",0,"220,36","19575,83",0,0,"309,5",0
510,"203,31","19275,66",0,0,"304,89",0,"180,88","18880,69",0,0,"298,84",0,"234,71","19828,62",0,0,"313,37",0
520,"146,78","18280,33",0,0,"289,63",0,"55,27","16668,86",0,0,"264,92",0,"209,59","19386,25",0,0,"306,59",0
530,"151,27","18359,33",0,0,"290,84",0,"66,04","16858,44",0,0,"267,83",0,"209,59","19386,25",0,0,"306,59",0
540,"198,82","19196,66",0,0,"303,68",0,"166,52","18627,91",0,0,"294,96",0,"249,07","20081,39",0,0,"317,25",0
550,"169,21","18675,3",0,0,"295,69",0,"112,69","17679,98",0,0,"280,43",0,"234,71","19828,62",0,0,"313,37",0
560,"119,87","17806,37",0,0,"282,36",0,"37,32","16352,88",0,0,"260,08",0,"202,41","19259,86",0,0,"304,65",0
570,"156,65","18454,12",0,0,"292,3",0,"109,1","17616,79",0,0,"279,46",0,"177,29","18817,49",0,0,"297,87",0
580,"151,27","18359,33",0,0,"290,84",0,"91,16","17300,81",0,0,"274,61",0,"188,06","19007,08",0,0,"300,78",0
590,"146,78","18280,33",0,0,"289,63",0,"101,92","17490,39",0,0,"277,52",0,"177,29","18817,49",0,0,"297,87",0
600,"152,17","18375,13",0,0,"292,05",0,"101,92","17490,39",0,0,"288,18",0,206,"19323,05",0,0,"297,87",0
610,"28,89","15641,94",0,0,"249,18",0,"1,44","13445,91",0,0,"215,5",0,"101,92","17490,39",0,0,"277,52",0
620,"174,6","18770,1",0,0,"297,14",0,"116,28","17743,18",0,0,"281,4",0,"223,94","19639,03",0,0,"310,47",0
630,"158,45","18485,72",0,0,"292,78",0,"116,28","17743,18",0,0,"281,4",0,"220,36","19575,83",0,0,"309,5",0
640,"139,61","18153,95",0,0,"287,69",0,"98,33","17427,2",0,0,"276,55",0,"213,18","19449,44",0,0,"307,56",0
650,"112,69","17679,98",0,0,"280,43",0,"87,57","17237,61",0,0,"273,64",0,"130,63","17995,96",0,0,"285,27",0
660,"139,61","18153,94",0,0,"287,69",0,"105,51","17553,59",0,0,"278,49",0,"180,88","18880,69",0,0,"298,84",0
670,"182,67","18912,29",0,0,"299,32",0,"116,28","17743,18",0,0,"281,4",0,"213,18","19449,44",0,0,"307,56",0
680,"101,92","17490,39",0,0,"277,52",0,"30,15","16226,49",0,0,"258,14",0,"155,76","18438,32",0,0,"292,05",0
690,"80,39","17111,22",0,0,"271,71",0,"8,61","15847,32",0,0,"252,33",0,"123,46","17869,56",0,0,"283,33",0
700,"179,98","18864,89",0,0,"298,59",0,"134,22","18059,15",0,0,"286,24",0,"213,18","19449,44",0,0,"307,56",0
710,"127,94","17948,56",0,0,"284,54",0,"98,33","17427,2",0,0,"276,55",0,"159,35","18501,52",0,0,"293,02",0
720,"191,65","19070,27",0,0,"301,74",0,"159,35","18501,52",0,0,"293,02",0,"223,94","19639,03",0,0,"310,47",0
730,"149,48","18327,73",0,0,"290,36",0,"144,99","18248,74",0,0,"289,15",0,"152,17","18375,13",0,0,"291,09",0
740,"179,98","18864,89",0,0,"298,59",0,"148,58","18311,93",0,0,"290,12",0,"216,77","19512,64",0,0,"308,53",0
750,"141,4","18185,54",0,0,"288,18",0,"105,51","17553,59",0,0,"278,49",0,"202,41","19259,86",0,0,"304,65",0
760,"165,63","18612,11",0,0,"294,72",0,"148,58","18311,93",0,0,"290,12",0,"180,88","18880,69",0,0,"298,84",0
770,"110,9","17648,38",0,0,"279,94",0,"76,8","17048,03",0,0,"270,74",0,"141,4","18185,54",0,0,"288,18",0
780,"124,35","17885,36",0,0,"283,58",0,"101,92","17490,39",0,0,"277,52",0,"155,76","18438,32",0,0,"292,05",0
790,"152,17","18406,72",0,0,"291,81",0,"119,87","17553,59",0,0,"278,49",0,"188,06","19007,08",0,0,"301,74",0
800,110,"17632,58",0,0,"279,7",0,"80,39","17111,22",0,0,"271,71",0,"141,4","18185,54",0,0,"288,18",0
810,"111,79","17664,18",0,0,"280,18",0,"66,04","16858,44",0,0,"267,83",0,"166,52","18627,91",0,0,"294,96",0
820,"77,7","17063,83",0,0,"272,67",0,"30,15","16226,49",0,0,"262,02",0,"134,22","18059,15",0,0,"282,36",0
830,"100,67","17300,81",0,0,"274,61",0,"105,51","15025,78",0,0,"239,73",0,"152,17","18375,13",0,0,"291,09",0
840,"126,15","17916,96",0,0,"284,06",0,"62,45","16795,25",0,0,"266,86",0,"177,29","18817,49",0,0,"297,87",0
850,"130,63","17995,96",0,0,"291,09",0,"101,92","17490,39",0,0,"280,43",0,"162,93","18564,71",0,0,"300,78",0
860,"38,4","16242,29",0,0,"258,38",0,"51,68","15341,76",0,0,"244,57",0,"101,92","17490,39",0,0,"277,52",0
870,"159,35","18501,52",0,0,"293,02",0,"134,22","18059,15",0,0,"286,24",0,"195,23","19133,47",0,0,"302,71",0
880,"145,89","18264,54",0,0,"289,39",0,"94,75",17364,0,0,"275,58",0,"177,29","18817,49",0,0,"297,87",0
890,"152,17","18375,13",0,0,"291,09",0,"119,87","17806,37",0,0,"282,36",0,"213,18","19449,44",0,0,"307,56",0
900,"89,36","17269,21",0,0,"276,07",0,"51,68","16605,66",0,0,"262,98",0,"116,28","17743,18",0,0,"281,4",0
910,"132,43","18027,55",0,0,"285,76",0,"83,98","17174,42",0,0,"272,67",0,"159,35","18501,52",0,0,"293,02",0
920,"130,63","17995,96",0,0,"285,27",0,"58,86","16732,05",0,0,"265,89",0,"188,06","19007,08",0,0,"300,78",0
930,"149,48","18327,73",0,0,"290,36",0,"109,1","17616,79",0,0,"279,46",0,"177,29","18817,49",0,0,"297,87",0
940,"120,77","17822,17",0,0,"282,61",0,"105,51","17553,59",0,0,"278,49",0,"134,22","18059,15",0,0,"286,24",0
950,"105,51","17553,59",0,0,"278,49",0,"83,98","17174,42",0,0,"272,67",0,"127,05","17932,76",0,0,"284,3",0
960,"136,02","18090,75",0,0,"286,72",0,"112,69","17679,98",0,0,"280,43",0,"148,58","18311,93",0,0,"290,12",0
970,"138,71","18138,14",0,0,"287,45",0,"109,1","17616,79",0,0,"279,46",0,"152,17","18375,13",0,0,"291,09",0
980,"150,37","18343,53",0,0,"281,15",0,"119,87","17806,37",0,0,"274,61",0,"184,47","18943,88",0,0,"290,12",0
990,"119,87","17806,37",0,0,"282,36",0,"80,39","17111,22",0,0,"271,71",0,"148,58","18311,93",0,0,"290,12",0
1000,"118,97","17790,57",0,0,"282,12",0,"91,16","17300,81",0,0,"274,61",0,"166,52","18627,91",0,0,"294,96",0
1010,"148,58","18643,71",0,0,"295,2",0,"87,57","18375,13",0,0,"291,09",0,"198,82","19196,66",0,0,"303,68",0
1020,"69,62","16921,64",0,0,"268,8",0,"22,97","16100,1",0,0,"256,2",0,"123,46","17869,56",0,0,"283,33",0
1030,"99,23",17443,0,0,"276,79",0,"76,8","17048,03",0,0,"270,74",0,"137,81","18122,35",0,0,"287,21",0
1040,"153,06","18390,92",0,0,"291,33",0,"116,28","17743,18",0,0,"281,4",0,206,"19323,05",0,0,"305,62",0
1050,"112,69","17679,98",0,0,"280,43",0,"83,98","17174,42",0,0,"272,67",0,"159,35","18501,52",0,0,"293,02",0
1060,"138,71","18138,14",0,0,"287,45",0,"116,28","17743,18",0,0,"281,4",0,"170,11","18691,1",0,0,"295,93",0
