timestamp,CO2avg,C2H5OHavg,H2avg,NH3avg,CO2min,C2H5OHmin,H2min,NH3min,CO2max,C2H5OHmax,H2max,NH3max
0,"317,42","15,6",0,"335,7","300,4","17,4",0,"331,11","325,49","22,49",0,"337,88"
1500,"366,7","51,78","9,66","349,01","361,32","47,96","1,29","347,56","379,24","60,69","29,2","352,39"
3000,"310,25","12,41",0,"333,77","289,65","14,86",0,"328,21","318,32","17,4",0,"335,95"
4500,"329,96","23,24","1,72","339,09","307,57","14,86","6,87","333,04","364,91","50,5","6,87","348,52"
6000,"380,14","61,32","34,46","352,64","350,57","40,32","6,87","344,65","407,91","81,06","73,86","360,14"
7500,"362,22","48,59","7,62","347,8","354,15","42,86","1,29","345,62","379,24","60,69","29,2","352,39"
9000,"324,59","21,86",0,"337,64","311,15","12,31",0,"334,01","336,24","30,13",0,"340,78"
10500,"339,82","32,68","1,72","341,75","325,49","22,49","6,87","337,88","364,91","50,5","6,87","348,52"
12000,"348,78","39,04","1,72","342,96","314,73","14,86","6,87","334,98","382,82","63,23","6,87","348,52"
13500,"385,51","65,14","40,37","354,33","372,07","55,6","18,04","350,46","404,33","78,51","73,86","360,14"
15000,"326,38","23,13",0,"338,12","314,73","14,86",0,"334,98","343,4","35,23",0,"342,72"
16500,"333,55","28,22",0,"340,06","321,9","19,95",0,"336,91","357,74","45,41",0,"346,59"
18000,"307,57","13,05",0,"333,04","275,31","12,31",0,"324,33","321,9","19,95",0,"336,91"
19500,"339,82","32,68",0,"341,75","321,9","19,95",0,"336,91","357,74","45,41",0,"346,59"
21000,"335,34","27,06","1,72","340,54","307,57","25,04","6,87","333,04","364,91","50,5","6,87","348,52"
24000,"369,38","53,69","13,85","349,73","364,91","50,5","6,87","348,52","375,66","58,14","23,62","351,43"
27000,"363,11","49,23","7,94","348,04","350,57","40,32","1,29","344,65","372,07","55,6","18,04","350,46"
28500,"371,18","54,96","16,64","350,22","361,32","47,96","1,29","347,56","379,24","60,69","29,2","352,39"
30000,"331,76","26,95",0,"339,57","314,73","14,86",0,"334,98","346,99","37,77",0,"343,69"
31500,"291,44","4,99",0,"328,69","264,56","19,95",0,"321,43","321,9","19,95",0,"336,91"
39000,"363,11","47,96","6,23","347,56","350,57","40,32","1,29","344,65","382,82","58,14","23,62","351,43"
