timestamp,CO2avg,C2H5OHavg,H2avg,NH3avg,CO2min,C2H5OHmin,H2min,NH3min,CO2max,C2H5OHmax,H2max,NH3max
0,"831,68","382,16","733,96","475,04","820,03","373,88","715,81","471,41","845,11","391,7","754,89","478,18"
1500,"774,34","341,42","644,64","459,07","769,86","338,23","637,66","457,86","780,61","345,87","654,41","460,76"
3000,"749,25","323,59","605,57","452,3","730,44","310,22","576,26","447,22","762,69","333,14","626,5","455,93"
4500,"734,02","312,77","581,84","448,19","723,27","305,13","565,09","445,28","744,77","320,41","598,59","451,09"
6000,717,"300,67","563,7","445,04","708,94","294,95","553,93","443,35","726,85","307,68","576,26","447,22"
7500,"705,35","292,4","537,18","440,45","687,43","279,67","509,27","435,61","719,69","302,58","559,51","444,32"
9000,"686,54","279,03","507,88","435,37","665,93","264,39","475,78","429,8","698,18","287,31","526,02","438,51"
10500,"692,81","283,49","517,65","437,06","680,27","274,58","498,11","433,67","701,77","289,85","531,6","439,48"
12000,"687,43","279,67","509,27","435,61","683,85","277,12","503,69","434,64","691,02","282,21","514,85","436,57"
13500,"695,5","285,4","521,83","437,78","680,27","274,58","498,11","433,67","705,35","292,4","537,18","440,45"
15000,"662,35","261,84","470,2","428,83","640,85","246,57","436,7","423,03","673,1","269,48","486,94","431,74"
16500,"658,76","259,3","464,61","427,87","640,85","246,57","436,7","423,03","673,1","269,48","486,94","431,74"
18000,"644,43","249,11","442,29",424,"612,18","226,2","392,05","415,29","673,1","269,48","486,94","431,74"
19500,"625,62","235,11","411,58","418,67","615,76","226,2","392,05","415,29","637,26","244,02","431,12","422,06"
21000,"637,26","240,2","422,75","420,61","630,1","231,29","403,21","417,22","644,43","249,11","442,29",424
22500,"638,16","244,66","432,52","421,09","622,93","233,83","408,79","418,19","651,6","254,21","453,45","424,96"
24000,"643,53","248,48","440,89","423,75","640,85","246,57","436,7","423,03","648,01","251,66","447,87","424,96"
25500,"630,99","238,93","419,96","420,13","615,76","228,74","397,63","416,26","644,43","249,11","442,29",424
27000,"636,37","243,38","429,73","421,82","622,93","233,83","408,79","418,19","651,6","254,21","453,45","425,93"
28500,"593,36","212,83","362,74","410,21","579,92","203,28","341,81","406,58","605,01","221,1","380,88","413,35"
30000,"621,14","231,93","404,61","417,46","608,59","221,1","380,88","413,35","640,85","246,57","436,7","423,03"
31500,"610,39","224,92","389,25","414,56","601,43","218,56","375,3","412,39","626,51","236,38","414,37","419,16"
33000,"629,2","238,29","418,56","419,88","612,18","226,2","392,05","415,29","648,01","251,66","447,87","424,96"
34500,"601,43","218,56","375,3","412,39","583,51","205,83","347,39","407,55","622,93","233,83","408,79","418,19"
36000,"620,24","231,93","404,61","417,46","605,01","221,1","380,88","413,35","633,68","241,47","425,54","421,09"
37500,"585,3","207,1","350,18","408,03","569,17","195,64","325,06","403,68","594,26","213,46","364,13","410,45"
39000,"590,68","210,28","357,16","409,24","572,76","195,64","325,06","403,68","619,34","231,29","403,21","417,22"
40500,"593,36","212,83","362,74","410,21","572,76","198,19","330,64","404,64","615,76","228,74","397,63","416,26"
42000,"561,11","189,91","312,5","401,5","544,09","177,82","285,98","396,9","572,76","198,19","330,64","404,64"
43500,"560,21","189,28","311,1","401,26","554,84","185,46","302,73","399,81","565,59","193,09","319,48","402,71"
45000,"563,8","189,91","312,5","401,5","551,26","182,91","297,15","398,84","569,17","195,64","325,06","403,68"
46500,"564,69","192,46","318,08","402,47","551,26","182,91","297,15","398,84","583,51","205,83","347,39","407,55"
48000,"582,61","202,64","340,41","406,34","558,42",188,"308,31","400,77","612,18","226,2","392,05","415,29"
49500,"567,38","194,37","322,27","403,19","551,26","182,91","297,15","398,84","590,68","210,92","358,55","409,48"
51000,"527,96",167,"266,45","393,52","486,75","139,62",219,"385,29","551,26","182,91","297,15","398,84"
52500,"544,98","178,45","287,38","397,15","533,34","170,18","269,24",394,"558,42",188,"308,31","400,77"
54000,"549,46","181,64","294,36","398,36","529,75","167,63","263,65","393,03","565,59","193,09","319,48","402,71"
55500,"550,36","182,27","295,75","398,6","529,75","167,63","263,65","393,03","565,59","193,09","319,48","402,71"
57000,"525,27","164,45","256,68","391,82","511,84","154,9","235,74","388,2","536,92","172,72","274,82","394,97"
58500,"530,65","168,27","270,63","394,24","493,92","142,17","207,83","383,36","562,01","190,55","313,89","401,74"
60000,"564,69","192,46","318,08","402,47","536,92","172,72","274,82","394,97","590,68","210,92","358,55","409,48"
61500,"539,61","174,63","279,01","395,69","515,42","157,45","241,33","389,16","565,59","193,09","319,48","402,71"
63000,"530,65","168,27","265,05","393,28",519,"159,99","246,91","390,13","540,5","175,27","280,4","395,94"
64500,"535,13","171,45","272,03","394,48","522,59","162,54","252,49","391,1","558,42",188,"308,31","400,77"
66000,"575,44","200,1","334,83","405,37","569,17","195,64","325,06","403,68","579,92","203,28","341,81","406,58"
67500,"497,5","144,72","213,41","384,33","479,58","131,98","185,5","379,49","515,42","157,45","241,33","389,16"
