timestamp,CO2avg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,CO2min,CH4min,C2H5OHmin,H2min,NH3min,NO2min,CO2max,CH4max,C2H5OHmax,H2max,NH3max,NO2max
1500,"750,7",25000,"329,83","619,24","455,8",0,"734,98",25000,"313,45","583,33","450,71",0,"764,32",25000,"346,21","655,16","460,89",0
3000,"760,13",25000,"331,32","622,51","455,23",0,"743,36",25000,"319,41","596,39","450,71",0,"772,71",25000,"340,26","642,1","458,63",0
4500,"769,56",25000,"338,02","637,2","457,78",0,"764,32",25000,"334,3","629,04","456,37",0,"781,09",25000,"346,21","655,16","460,89",0
6000,"738,12",25000,"315,68","588,23","449,29",0,"730,78",25000,"310,47","576,8","447,31",0,"747,55",25000,"322,38","602,92","451,84",0
7500,"732,88",25000,"311,96","580,06","447,88",0,"722,4",25000,"304,51","563,74","445,05",0,"747,55",25000,"322,38","602,92","451,84",0
9000,"726,59",25000,"307,49","570,27","446,18",0,"714,02",25000,"298,56","550,68","442,78",0,"739,17",25000,"316,43","589,86","449,58",0
10500,"709,82",25000,"295,58","544,15","441,65",0,"701,44",25000,"289,62","531,09","439,39",0,"718,21",25000,"301,53","557,21","443,92",0
12000,"705,63",25000,"292,6","537,62","440,52",0,"701,44",25000,"289,62","531,09","439,39",0,"709,82",25000,"295,58","544,15","441,65",0
13500,"693,06",25000,"283,66","518,03","437,13",0,"667,9",25000,"265,79","478,85","430,33",0,"705,63",25000,"292,6","537,62","440,52",0
15000,"686,77",25000,"279,19","508,23","435,43",0,"667,9",25000,"265,79","478,85","430,33",0,"705,63",25000,"292,6","537,62","440,52",0
16500,"746,5",25000,"321,64","601,29","451,56",0,"743,36",25000,"319,41","596,39","450,71",0,"751,74",25000,"325,36","609,45","452,97",0
18000,"724,5",25000,306,567,"445,61",0,"714,02",25000,"298,56","550,68","442,78",0,"730,78",25000,"310,47","576,8","447,31",0
19500,"697,25",25000,"286,64","524,56","438,26",0,"688,86",25000,"280,68","511,5","435,99",0,"705,63",25000,"292,6","537,62","440,52",0
21000,"677,34",25000,"272,49","493,54","432,88",0,"663,71",25000,"262,81","472,32","429,2",0,"688,86",25000,"280,68","511,5","435,99",0
22500,"686,77",25000,"279,19","508,23","435,43",0,"659,52",25000,"259,83","465,79","428,07",0,"705,63",25000,"292,6","537,62","440,52",0
24000,"692,01",25000,"282,92","516,4","436,84",0,"684,67",25000,"277,71","504,97","434,86",0,"701,44",25000,"289,62","531,09","439,39",0
25500,"693,06",25000,"283,66","518,03","437,13",0,"684,67",25000,"277,71","504,97","434,86",0,"701,44",25000,"289,62","531,09","439,39",0
27000,"680,48",25000,"274,73","498,44","433,73",0,"667,9",25000,"265,79","478,85","430,33",0,"688,86",25000,"280,68","511,5","435,99",0
28500,"660,57",25000,"260,58","467,42","428,35",0,"638,56",25000,"244,94","433,14","422,41",0,"680,48",25000,"274,73","498,44","433,73",0
30000,"676,29",25000,"271,75","491,91","432,6",0,"667,9",25000,"265,79","478,85","430,33",0,"684,67",25000,"277,71","504,97","434,86",0
31500,"674,19",25000,"270,26","488,64","432,03",0,"663,71",25000,"262,81","472,32","429,2",0,"684,67",25000,"277,71","504,97","434,86",0
33000,"741,26",25000,"317,92","593,12","450,14",0,"722,4",25000,"304,51","563,74","445,05",0,"764,32",25000,"334,3","629,04","456,37",0
34500,"738,12",25000,"318,66","594,76","450,42",0,"730,78",25000,"316,43","589,86","449,58",0,"743,36",25000,"319,41","596,39","450,71",0
36000,"693,06",25000,"283,66","518,03","437,13",0,"688,86",25000,"280,68","511,5","435,99",0,"701,44",25000,"289,62","531,09","439,39",0
37500,"719,26",25000,"302,28","558,84","444,2",0,"709,82",25000,"295,58","544,15","441,65",0,"726,59",25000,"307,49","570,27","446,18",0
39000,"682,58",25000,"276,22","501,7","434,3",0,"672,1",25000,"268,77","485,38","431,47",0,"693,06",25000,"283,66","518,03","437,13",0
40500,"676,29",25000,"271,75","491,91","432,6",0,"672,1",25000,"268,77","485,38","431,47",0,"680,48",25000,"274,73","498,44","433,73",0
42000,"675,24",25000,"271,75","495,17","433,16",0,"667,9",25000,"265,79","485,38","431,47",0,"680,48",25000,"277,71","504,97","434,86",0
43500,"663,71",25000,"262,81","472,32","429,2",0,"646,94",25000,"250,9","446,2","424,67",0,"676,29",25000,"271,75","491,91","432,6",0
45000,"663,71",25000,"262,81","472,32","429,2",0,"663,71",25000,"262,81","472,32","429,2",0,"663,71",25000,"262,81","472,32","429,2",0
46500,"678,38",25000,"273,24","495,17","433,16",0,"663,71",25000,"262,81","472,32","429,2",0,"688,86",25000,"280,68","511,5","435,99",0
48000,"667,9",25000,"265,79","478,85","430,33",0,"655,33",25000,"256,86","459,26","426,94",0,"676,29",25000,"271,75","491,91","432,6",0
49500,"623,89",25000,"234,52","410,28","418,45",0,"617,6",25000,"230,05","400,49","416,75",0,"625,98",25000,"236,01","413,55","419,02",0
51000,"633,32",25000,"241,22","424,98",421,0,"609,21",25000,"224,09","387,43","414,49",0,"646,94",25000,"250,9","446,2","424,67",0
52500,"614,45",25000,"227,81","400,49","417,03",0,"600,83",25000,"218,13","374,37","412,22",0,"630,17",25000,"238,98","439,67","423,54",0
54000,"638,56",25000,"244,94","433,14","422,41",0,"613,41",25000,"227,07","393,96","415,62",0,"655,33",25000,"256,86","459,26","426,94",0
55500,"630,17",25000,"238,98","420,08","420,15",0,"617,6",25000,"230,05","400,49","416,75",0,"638,56",25000,"244,94","433,14","422,41",0
57000,"612,36",25000,"226,32","392,33","415,34",0,"584,06",25000,"206,22","348,25","407,7",0,"638,56",25000,"244,94","433,14","422,41",0
58500,"606,07",25000,"221,86","382,53","413,64",0,"600,83",25000,"218,13","374,37","412,22",0,"617,6",25000,"230,05","400,49","416,75",0
60000,"620,74",25000,"232,28","405,39","417,6",0,"600,83",25000,"218,13","374,37","412,22",0,"646,94",25000,"250,9","446,2","424,67",0
61500,"623,89",25000,"234,52","410,28","418,45",0,"613,41",25000,"227,07","393,96","415,62",0,"638,56",25000,"244,94","433,14","422,41",0
63000,"608,17",25000,"223,35","385,8","414,2",0,"600,83",25000,"218,13","374,37","412,22",0,"617,6",25000,"230,05","400,49","416,75",0
64500,"576,73",25000,"201,01","336,82","406,28",0,"537,95",25000,"173,45","276,42","397,51",0,"609,21",25000,"224,09","387,43","414,49",0
66000,"571,49",25000,"197,28","328,66","404,3",0,"558,91",25000,"188,35","309,07","400,91",0,"579,87",25000,"203,24","341,72","406,56",0
67500,"585,11",25000,"206,96","349,88","407,98",0,"575,68",25000,"200,26","335,19","405,43",0,"592,45",25000,"212,18","361,31","409,96",0
69000,"575,68",25000,"200,26","335,19","405,43",0,"554,72",25000,"185,37","302,54","399,77",0,"588,25",25000,"209,2","354,78","408,83",0
70500,"554,72",25000,"185,37","302,54","399,77",0,"542,14",25000,"176,43","282,95","396,38",0,"567,29",25000,"194,3","322,13","403,17",0
72000,"563,1",25000,"191,33","315,6","402,04",0,"550,53",25000,"182,39","296,01","398,64",0,"575,68",25000,"200,26","335,19","405,43",0
73500,"533,76","24862,66","170,48","269,89","394,11",0,"504,41","24577,69","149,63","224,18","386,19",0,"554,72",25000,"185,37","302,54","399,77",0
75000,"537,95",25000,"173,45","276,42","395,25",0,"529,56",25000,"167,5","263,36","392,98",0,"546,33",25000,"179,41","289,48","397,51",0
76500,"567,29",25000,"194,3","322,13","403,17",0,"563,1",25000,"191,33","315,6","402,04",0,"571,49",25000,"197,28","328,66","404,3",0
78000,"577,77",25000,"201,75","338,45",406,0,"563,1",25000,"191,33","315,6","402,04",0,"588,25",25000,"209,2","354,78","408,83",0
