timestamp,CO2avg,CH4avg,C2H5OHavg,H2avg,NH3avg,NO2avg,CO2min,CH4min,C2H5OHmin,H2min,NH3min,NO2min,CO2max,CH4max,C2H5OHmax,H2max,NH3max,NO2max
1500,"456,2","23728,8","115,37","149,09","373,17",0,"449,92","23618,07","110,9","139,29","371,48",0,"462,49","23839,52","119,84","158,88","374,87",0
3000,"466,68","23913,34","122,82","165,41",376,0,"445,72","23544,25","107,93","132,76","370,35",0,"483,45","24208,61","134,73","191,53","380,53",0
4500,"503,36","24559,24","148,88","222,55","385,91",0,"487,64","24282,42","137,71","198,06","381,66",0,"516,99","24799,14","158,56","243,77","389,59",0
6000,"511,75","24706,87","154,84","235,61","388,17",0,"487,64","24282,42","137,71","198,06","381,66",0,"521,18","24872,96","161,54","250,3","390,72",0
7500,"505,46","24596,15","150,37","225,81","386,47",0,"491,84","24356,24","140,69","204,59","382,8",0,"512,8","24725,33","155,58","237,24","388,46",0
9000,"510,7","24688,42","154,09","233,98","387,89",0,"504,41","24577,69","149,63","224,18","386,19",0,"512,8","24725,33","155,58","237,24","388,46",0
10500,"487,64","24282,42","137,71","198,06","381,66",0,"479,26","24134,79","131,75",185,"379,4",0,"500,22","24503,88","146,65","217,65","385,06",0
12000,"479,26","24134,79","131,75","181,74","379,4",0,"470,88","23987,16","125,8","171,94","377,14",0,"487,64","24282,42","137,71",185,"381,66",0
13500,"464,59","23876,43","121,33","162,15","375,44",0,"441,53","23470,44","104,95","126,23","369,21",0,"483,45","24208,61","134,73","191,53","380,53",0
15000,"502,32","24540,78","148,14","220,92","385,63",0,"487,64","24282,42","137,71","198,06","381,66",0,"512,8","24725,33","155,58","237,24","388,46",0
16500,"471,92","24005,61","126,54","173,57","377,42",0,"445,72","23544,25","107,93","132,76","370,35",0,"491,84","24356,24","140,69","204,59","382,8",0
18000,"487,64","24282,43","137,71","198,06","381,1",0,"475,07","24060,97","128,78","178,47","378,27",0,"496,03","24430,06","143,67","211,12","383,93",0
19500,"474,02","24042,52","128,03","176,84","377,99",0,"466,68","23913,34","122,82","165,41",376,0,"483,45","24208,61","134,73","191,53","380,53",0
21000,"469,83","23968,7","125,05","170,31","376,85",0,"428,95","23248,99","96,01","106,64","365,82",0,"496,03","24430,06","143,67","211,12","383,93",0
22500,"509,65","24669,96","153,35","232,34","387,61",0,"496,03","24430,06","143,67","211,12","383,93",0,"521,18","24872,96","161,54","250,3","390,72",0
24000,"508,6","24651,51","152,6","230,71","387,32",0,"500,22","24503,88","146,65","217,65","385,06",0,"525,37","24946,78","164,52","256,83","391,85",0
25500,"518,04","24757,09","159,31","245,4","389,87",0,"500,22","24503,88","146,65","217,65","385,06",0,"542,14",25000,"176,43","282,95","396,38",0
27000,"504,41","24577,69","149,63","224,18","386,19",0,"475,07","24060,97","128,78","178,47","378,27",0,"521,18","24872,96","161,54","250,3","390,72",0
28500,"471,92","24005,61","126,54","173,57","378,55",0,"445,72","23544,25","107,93","132,76",376,0,"487,64","24282,42","137,71","198,06","381,66",0
30000,"453,06","23673,43","113,14","144,19","372,33",0,"420,57","23101,35","90,05","93,58","363,55",0,"470,88","23987,16","125,8","171,94","377,14",0
31500,"490,79","24337,79","139,95","202,96","382,51",0,"466,68","23913,34","122,82","165,41",376,0,"512,8","24725,33","155,58","237,24","388,46",0
