timestamp,CO2avg,C2H5OHavg,H2avg,NH3avg,CO2min,C2H5OHmin,H2min,NH3min,CO2max,C2H5OHmax,H2max,NH3max
0,"615,56","228,6","397,32","416,2","587,18","208,43","353,11","408,54","635,83",243,"428,89","421,67"
1500,"620,63","232,2","405,21","417,57","591,23","211,32","359,42","409,63","656,1","257,41","460,47","427,15"
3000,"620,63","232,2","405,21","417,57","595,29","214,2","365,74","410,73","652,05","254,53","454,16","426,05"
4500,"610,49",225,"389,42","412,37","575,02","199,79","334,16","403,07",648,"251,65","447,84","424,96"
6000,"620,63","232,2","405,21","419,76","591,23","211,32","359,42","409,63","668,27","266,05","479,42","430,43"
7500,"625,7","235,8","413,1","418,12","603,4","219,96","378,37","409,63","635,83",243,"428,89","421,67"
9000,"624,68","235,08","411,53","418,66","595,29","214,2","365,74","410,73","656,1","257,41","460,47","427,15"
10500,"653,06","258,13","462,05","427,42","635,83","245,88","435,21","422,77","680,43","274,69","498,36","433,72"
12000,"657,12","258,13","462,05","427,42","635,83",243,"428,89","421,67","680,43","274,69","498,36","433,72"
13500,"642,93","248,05","439,95","423,59","599,34","217,08","372,05","411,82","688,54","280,45",511,"435,91"
15000,"621,64","232,92","406,79","417,84","591,23","211,32","359,42","409,63","643,94","248,77","441,52","423,86"
16500,"623,67","297,89","408,37","418,12","615,56","228,6","397,32","416,2","639,89",500,"428,89","421,67"
18000,"628,74","237,96","417,84","421,13","607,45","222,84","384,68","414,01","639,89","245,88","435,21","428,24"
19500,"617,59","230,04","400,47","415,93","595,29","214,2","365,74","407,44","643,94","248,77","441,52","423,86"
21000,"619,62","231,48","403,63","417,3","591,23","211,32","359,42","409,63","664,21","263,17","473,1","429,34"
22500,"623,67","234,36","409,95","418,12","599,34","217,08","372,05","411,82","639,89","245,88","435,21","422,77"
24000,"639,89","246,61","436,79","423,04","615,56","228,6","397,32","416,2","664,21","266,05","479,42","430,43"
25500,"669,28","266,77",481,"430,71","652,05","254,53","454,16","426,05","684,49","277,57","504,68","434,81"
27000,"638,87","245,16","433,63","422,5","611,51","225,72",391,"415,11","672,32","268,93","485,73","431,53"
28500,"629,75","240,84","424,16","420,85","611,51","225,72",391,"415,11","639,89","254,53","454,16","426,05"
30000,"612,52","226,44","392,58","415,38","579,07","202,67","340,48","406,35","639,89","245,88","435,21","422,77"
31500,"626,71","236,52","414,68","419,21","603,4","219,96","378,37","412,92","652,05","254,53","454,16","426,05"
33000,"611,51","225,72",391,"415,11","579,07","202,67","340,48","406,35","631,78","240,12","422,58","420,58"
34500,"623,67","234,36","409,95","418,39","599,34","217,08","372,05","411,82","643,94","248,77","441,52","423,86"
36000,"594,28","213,48","364,16","410,45","587,18","208,43","353,11","408,54","599,34","217,08","372,05","411,82"
37500,"623,67","234,36","409,95","418,39","607,45","222,84","384,68","414,01","635,83",243,"428,89","421,67"
39000,"610,49",225,"389,42","414,83","587,18","208,43","353,11","408,54","631,78","240,12","422,58","420,58"
40500,"619,62","231,48","403,63","417,02","607,45","222,84","384,68","414,01","631,78","240,12","422,58","420,58"
