timestamp,CO2avg,C2H5OHavg,H2avg,NH3avg,CO2min,C2H5OHmin,H2min,NH3min,CO2max,C2H5OHmax,H2max,NH3max
0,"924,71","448,26","878,87","497,51","895,32","427,37","833,09","491,74","952,08","467,7","921,5",500
1500,"801,05","360,4","686,25","466,28","789,9","352,47","668,88","463,27","826,39","378,4","725,72","473,13"
3000,"791,93","353,91","672,04","463,82","789,9","352,47","668,88","463,27","798,01","358,23","681,51","465,46"
4500,"768,61","338,79","638,88","458,07","753,41","329,43","618,36","454,52","789,9","352,47","668,88","463,27"
6000,"771,66","339,51","640,46","458,35","761,52","332,31","624,67","455,61","777,74","343,83","649,94","459,99"
7500,"746,32","321,5","600,99","451,51","741,25","317,9","593,1","450,14","753,41","326,55","612,04","453,42"
9000,"741,25","317,9","593,1","450,14","725,03","306,38","567,84","445,76","757,47","329,43","618,36","454,52"
10500,"751,38","325,11","608,89","452,87","741,25","317,9","593,1","450,14","757,47","329,43","618,36","454,52"
12000,"747,33","322,23","602,57","451,78","737,19","315,02","586,78","449,04","753,41","326,55","612,04","453,42"
13500,"742,26","318,62","594,68","450,41","729,08","309,26","574,15","446,85","757,47","329,43","618,36","454,52"
15000,"710,84","296,3","545,73","441,93","700,7","289,1","529,94","439,19","720,98","303,5","561,52","444,66"
16500,"745,3","320,78","599,41","450,68","737,19","315,02","586,78","449,04","753,41","326,55","612,04","452,33"
18000,"732,13","317,18","591,52","449,86","704,76","309,26","574,15","446,85","757,47","329,43","618,36","454,52"
19500,"724,02","305,66","566,26","445,48","688,54","280,45",511,"435,91","749,36","323,67","605,73","452,33"
21000,"712,87","297,74","548,89","443,02","700,7","289,1","529,94","439,19","725,03","306,38","567,84","445,76"
22500,"704,76","291,98","536,26","440,56","676,38","271,81","492,05","432,62","737,19","315,02","586,78","449,04"
24000,"707,8","294,14","540,99","441,11","692,59","283,33","517,31",437,"725,03","306,38","567,84","445,76"
25500,723,"310,7","577,31","447,4","696,65","309,26","574,15","446,85","737,19","315,02","586,78","449,04"
27000,"732,13","311,42","578,89","447,67","720,98","303,5","561,52","444,66","749,36","323,67","605,73","452,33"
28500,"715,91","299,9","553,63","443,3","704,76","291,98","536,26","440,28","720,98","303,5","561,52","444,66"
30000,"717,93","299,9","553,63","443,3","704,76","291,98","536,26","440,28","733,14","312,14","580,47","447,95"
31500,"731,11","310,7","577,31","447,4","712,87","297,74","548,89","442,47","749,36","323,67","605,73","452,33"
33000,"720,98","303,5","561,52","444,66","712,87","297,74","548,89","442,47","729,08","309,26","574,15","446,85"
34500,"728,07","308,54","572,57","446,58","700,7","289,1","529,94","439,19","749,36","323,67","605,73","452,33"
36000,"720,98","303,5","561,52","443,57","712,87","297,74","548,89","440,28","725,03","306,38","567,84","445,76"
37500,"704,76","291,98","536,26","440,28","672,32","268,93","485,73","431,53","741,25","317,9","593,1","450,14"
39000,"710,84","296,3","544,15","441,65","700,7","289,1","523,63","438,1","733,14","312,14","580,47","447,95"
40500,"691,58","282,61","515,73","436,73","672,32","268,93","485,73","431,53","716,92","300,62","555,2","443,57"
42000,"727,06","307,82","570,99","446,31","720,98","303,5","561,52","444,66","733,14","312,14","580,47","447,95"
43500,"711,85","298,46","550,47","442,75","696,65","286,22","523,63","438,1","725,03","306,38","567,84","445,76"
45000,"712,87","297,74","548,89","442,47","700,7","289,1","529,94","439,19","737,19","315,02","586,78","449,04"
46500,"675,36","271,09","490,47","432,35",648,"251,65","447,84","424,96","688,54","280,45",511,"435,91"
48000,"692,59","283,33","517,31",437,"688,54","280,45",511,"435,91","696,65","286,22","523,63","438,1"
49500,"698,68","285,5","522,05","437,82","672,32","268,93","485,73","431,53","712,87","297,74","548,89","442,47"
51000,"699,69","288,38","528,36","438,92","692,59","283,33","517,31",437,"708,81","294,86","542,57","441,38"
52500,"695,64","287,66","526,78","438,64","688,54","286,22","523,63","438,1","700,7","289,1","529,94","439,19"
54000,"714,89","299,18","552,05","443,02","700,7","289,1","529,94","439,19","720,98","303,5","561,52","444,66"
55500,"696,65","286,22","523,63","438,1","692,59","283,33","517,31",437,"700,7","289,1","529,94","439,19"
57000,"667,25","265,33","477,84","430,16","656,1","257,41","460,47","427,15","676,38","271,81","492,05","432,62"
58500,"688,54","280,45","514,15","436,45","684,49","277,57","504,68","434,81","700,7","289,1","529,94","439,19"
60000,"716,92","300,62","555,2","443,57","700,7","289,1","529,94","439,19","741,25","317,9","593,1","450,14"
61500,"684,49","277,57","504,68","434,81","664,21","263,17","473,1","429,34","712,87","297,74","548,89","442,47"
63000,"699,69","288,38","528,36","441,11","692,59","283,33","517,31",437,"720,98","303,5","561,52","445,76"
64500,"688,54","280,45",511,"435,91","676,38","271,81","492,05","432,62","700,7","289,1","529,94","439,19"
66000,"678,4","273,25","495,21","433,17","660,16","260,29","466,79","428,24","692,59","283,33","517,31",437
67500,"674,35","270,37","488,89","432,07","660,16","260,29","466,79","428,24","696,65","286,22","523,63","438,1"
69000,"697,66","286,94","525,21","438,37","688,54","280,45",511,"435,91","704,76","291,98","536,26","440,28"
70500,"690,57","281,89","514,15","436,45","664,21","263,17","473,1","429,34","720,98","303,5","561,52","444,66"
72000,"677,39","272,53","493,63","432,9","656,1","257,41","460,47","427,15","700,7","289,1","529,94","439,19"
73500,"662,19","261,73","469,94","428,79","631,78","240,12","422,58","420,58","680,43","274,69","498,36","433,72"
75000,"686,51","279,01","507,84","436,18","672,32","268,93","485,73","434,81","700,7","289,1","529,94","439,19"
76500,"665,23","263,89","474,68","429,61","639,89","245,88","435,21","422,77","684,49","277,57","504,68","434,81"
78000,"643,94","248,77","441,52","423,86","627,72","237,24","416,26","419,49","668,27","266,05","479,42","430,43"
79500,"694,62","284,78","506,26","435,08","684,49","277,57","447,84","424,96","704,76","291,98","536,26","440,28"
81000,"654,08","255,97","457,31","426,6","643,94","248,77","441,52","423,86","672,32","268,93","485,73","431,53"
82500,"682,46","281,17","512,57","436,18","668,27","277,57","504,68","434,81","692,59","286,22","523,63","438,1"
84000,"682,46","276,13","501,52","434,26","656,1","257,41","460,47","427,15","704,76","291,98","536,26","440,28"
85500,"672,32","268,93","485,73","431,53","660,16","260,29","466,79","428,24","696,65","286,22","523,63","438,1"
87000,"692,59","278,29","506,26","435,08","676,38","271,81","492,05","432,62","716,92","280,45",511,"435,91"
